Soil_pH,Soil_Moisture_%,Soil_Temperature_C,Electrical_Conductivity_dS_m,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Organic_Carbon_%,Soil_Texture,Nutrient_Quality_Score
6.07,23.67,38.05,,49.64,140.48,108.83,1.73,Loamy,6.01
8.25,31.81,5.34,5.29,567.63,203.76,402.22,0.54,Sandy,5.76
8.71,49.82,8.44,0.41,99.39,106.92,634.64,2.71,Clay,10.75
4.62,9.5,46.6,4.28,,4.31,265.62,1.22,Sandy,5.17
4.33,27.71,41.16,3.3,377.5,21.89,,1.27,,8.63
4.71,45.36,25.96,1.19,,177.78,549.59,1.29,Loamy,1.7
6.57,23.73,30.69,2.23,599.3,167.72,541.15,3.37,Sandy,8.43
8.04,55.3,32.45,0.99,164.46,4.87,402.05,3.4,Sandy,8.58
,16.05,32.49,0.51,147.22,121.28,57.44,2.49,Loamy,8.54
6.49,5.11,12.5,2.18,586.39,48.41,415.93,2.86,Clay,4.35
9.43,31.17,35.17,3.36,127.39,111.31,316.38,0.75,Loamy,2.66
6.35,7.59,32.78,3.55,191.56,3.07,68.58,1.86,Clay,4.56
7.55,37.65,35.31,4.62,270.12,73.68,394.2,3.44,Sandy,4.83
6.92,29.5,31.55,5.69,323.25,141.54,219.25,1.19,Sandy,2.95
7.18,15.4,32.92,2.09,305.49,202.36,295.26,0.16,Clay,1.81
8.03,60.42,37.17,5.33,76.19,,326.54,3.42,Loamy,7.8
7.17,,25.68,3.57,39.21,225.54,187.99,0.26,Sandy,10.93
4.57,65.02,49.12,2.02,408.59,62.28,583.3,2.96,Clay,2.91
6.04,59.7,38.09,5.04,60.07,197.66,112.2,0.71,Clay,2.41
8.03,11.7,21.59,,488.59,232.45,,0.44,Loamy,5.33
4.4,20.24,6.37,,412.04,155.4,624.16,1.74,Sandy,10.86
4.66,16.05,7.18,4.31,347.79,48.45,231.51,1.22,Sandy,10.22
6.61,33.19,20.62,5.44,407.46,137.19,445.08,3.28,Clay,0.31
9.25,39.4,13.06,0.89,82.85,26.03,183.75,2.83,Clay,7.3
4.27,46.24,39.39,5.06,203.99,28.95,84.74,0.94,Clay,0.28
,18.47,20.87,1.69,352.24,226.68,557.74,0.81,Loamy,2.63
7.54,16.72,39.65,2.89,180.17,72.74,137.82,0.67,Sandy,6.17
7.26,57.51,44.27,1.68,368.53,65.29,202.92,2.25,Clay,2.7
5.52,42.36,41.58,5.52,235.7,127.4,239.44,0.27,Loamy,3.12
4.87,39.23,26.62,1.15,32.76,152.74,33.22,2.81,Clay,1.27
8.67,24.72,24.63,0.57,398.42,47.83,307.64,0.38,Clay,7.72
6.95,21.89,46.03,4.35,596.87,,56.32,2.96,Loamy,5.8
5.37,37.22,14.5,3.71,377.25,229.6,569.25,3.36,Clay,4.1
5.37,48.4,43.16,4.22,236.08,71.89,657.93,0.85,Clay,2.72
9.49,33.22,48.74,1.23,289.66,176.55,440.64,2.37,Sandy,2.85
7.85,23.45,14.01,3.9,91.52,188.87,699.12,2.86,Clay,9.91
4.64,,29.69,5.41,554.7,127.97,532.81,0.11,Clay,0.98
5.95,13.87,19.44,0.73,253.13,205.72,457.82,1.06,Loamy,10.47
4.25,5.51,34.35,2.44,,209.68,476.45,2.2,Sandy,0.42
9.36,36.21,46.66,3.83,441.06,212.38,91.86,0.49,Loamy,11.61
4.18,11.23,48.15,4.54,562.87,16.6,434.83,0.06,Loamy,3.68
6.79,56.49,48.62,2.75,489.53,100.86,75.15,3.29,Loamy,1.17
6.62,31.91,14.3,1.01,151.43,61.28,266.36,1.99,Clay,9.84
4.42,44.99,47.05,1.33,546.24,42.86,361.95,3.0,Loamy,6.32
9.1,34.7,28.59,4.52,429.62,181.64,163.53,0.63,Clay,7.09
4.35,4.77,21.64,1.03,439.64,167.67,358.16,0.22,Loamy,1.48
5.52,39.0,,5.98,432.42,89.0,289.76,0.5,Loamy,1.77
,27.54,43.11,4.35,216.44,75.5,573.45,0.14,Clay,6.49
4.65,27.61,10.64,2.6,581.54,20.57,671.19,1.32,,8.77
9.44,49.23,23.73,5.83,280.06,232.86,641.58,0.76,Sandy,11.22
8.24,67.98,,3.48,57.77,163.75,323.77,2.17,Sandy,5.41
7.87,17.58,46.48,5.21,227.64,,167.66,0.32,Sandy,5.76
5.09,16.08,44.16,2.75,,27.91,206.19,0.37,,2.44
5.25,,16.49,3.39,258.13,139.97,480.47,1.48,Loamy,8.2
,5.69,,0.93,125.15,45.87,343.57,1.79,,2.29
6.15,14.01,42.71,4.59,200.01,65.1,152.9,2.19,Clay,11.99
6.88,68.09,29.5,5.73,65.8,188.51,,2.86,Clay,4.05
7.25,20.84,49.28,1.33,216.76,92.79,595.67,1.41,Sandy,3.03
7.76,13.39,40.53,4.81,436.53,242.9,,0.56,Clay,4.15
9.15,4.14,38.45,4.22,274.23,9.96,576.11,3.25,Clay,11.82
6.57,37.38,23.82,4.03,400.12,,689.78,0.94,Clay,5.1
4.22,18.94,,3.34,202.9,111.5,646.64,1.9,Sandy,10.76
7.44,69.51,33.16,2.12,319.29,149.11,111.45,1.34,Sandy,9.33
5.88,35.93,19.72,1.95,347.12,185.77,197.55,2.58,Sandy,5.17
6.53,25.87,17.11,,288.66,64.7,601.63,1.41,Sandy,2.71
6.53,60.4,45.95,4.65,416.29,227.84,160.97,2.55,Sandy,7.71
5.0,46.51,46.42,2.88,330.56,245.71,673.3,1.83,Clay,7.91
8.05,37.63,15.7,2.49,277.46,7.88,134.47,0.94,Clay,3.17
4.89,29.14,44.27,2.49,,11.34,433.8,1.36,Sandy,4.6
,5.4,47.24,5.64,185.16,229.55,,1.01,Loamy,1.65
5.47,12.88,40.05,1.53,115.8,26.91,610.41,3.11,Clay,0.19
6.02,32.98,12.05,2.52,577.57,101.44,244.96,1.91,Loamy,5.02
6.52,36.38,35.51,3.21,336.57,149.11,124.28,1.31,Sandy,11.4
8.69,25.72,,5.67,453.73,35.08,284.32,3.12,Sandy,1.17
9.12,14.51,31.39,,267.75,17.33,520.69,1.37,Clay,3.97
6.43,44.03,25.75,0.38,26.05,62.09,569.35,2.67,Clay,11.69
8.72,60.55,12.66,1.74,338.4,157.85,339.34,1.16,Sandy,6.86
7.93,51.48,9.24,0.71,133.21,18.31,537.39,0.92,Sandy,11.93
8.16,64.35,7.65,0.84,72.82,199.32,254.28,2.23,Clay,0.09
5.08,21.26,13.24,1.1,92.04,43.71,635.3,1.74,Loamy,3.76
6.21,38.55,,3.03,599.72,78.67,312.81,,Sandy,10.58
7.14,55.66,8.36,3.29,564.86,185.87,157.79,0.17,Sandy,7.23
4.52,54.36,23.06,2.25,,134.73,,0.49,Loamy,8.8
5.4,67.64,38.92,0.91,226.24,90.47,388.97,,Sandy,10.26
4.85,68.43,39.09,2.6,,116.56,394.4,1.36,Loamy,10.49
4.16,24.11,13.06,4.48,266.51,217.93,552.04,0.27,Sandy,11.57
6.92,52.99,32.89,1.41,399.38,3.08,,1.42,Sandy,5.7
8.72,20.49,14.52,3.81,569.97,208.05,516.74,0.15,Loamy,6.17
4.81,50.94,36.09,5.95,477.25,154.51,242.42,2.02,Loamy,3.29
9.12,15.2,37.31,1.61,393.46,147.74,102.98,0.27,Sandy,1.01
4.89,27.68,14.92,5.12,161.9,236.85,164.65,2.02,Clay,8.21
7.42,39.24,18.62,1.97,503.31,42.78,655.07,1.54,Clay,5.78
8.12,13.21,28.45,0.64,281.06,89.26,662.3,2.65,Sandy,5.73
9.49,11.94,46.88,3.47,88.02,131.06,,3.3,Loamy,3.99
6.06,18.31,10.05,4.82,334.28,244.3,259.89,2.01,Clay,6.39
8.2,62.5,36.53,3.24,249.37,14.79,171.78,1.14,Loamy,0.04
7.07,55.77,27.13,3.08,36.24,91.83,,2.6,Loamy,10.02
9.0,40.54,39.53,3.4,,107.2,482.63,,Sandy,3.29
6.93,42.11,27.8,1.38,588.81,13.31,675.52,3.23,Loamy,10.27
8.35,65.9,15.16,5.53,59.1,68.14,635.85,0.74,Sandy,10.88
9.1,15.48,43.63,0.43,121.12,49.77,47.21,3.4,Sandy,6.85
4.39,58.76,6.35,3.19,439.54,62.85,495.9,0.1,Loamy,6.02
4.27,64.9,35.44,5.94,241.01,211.56,322.15,0.54,Loamy,4.81
5.77,14.36,24.97,,311.58,125.4,623.54,2.16,Loamy,0.47
5.31,3.18,46.12,,580.37,89.33,369.07,2.67,Loamy,0.35
5.16,28.3,44.08,5.03,509.38,69.03,685.85,0.57,Loamy,7.45
7.89,43.4,16.34,5.44,521.2,77.69,503.87,2.89,Sandy,6.14
6.02,22.88,32.67,1.04,272.18,51.75,616.96,1.05,Loamy,6.79
4.33,45.6,,4.14,308.55,142.0,284.55,,,8.09
6.55,25.23,35.28,5.97,176.78,41.32,663.39,1.0,Clay,9.28
4.83,48.56,29.21,1.48,456.01,126.96,521.18,3.4,Sandy,5.13
8.53,38.85,18.0,3.76,157.7,186.74,71.2,,Loamy,3.85
6.83,51.32,,4.43,280.57,194.35,74.5,0.17,Clay,1.99
9.07,17.89,40.27,5.48,262.54,194.41,223.54,0.8,Clay,1.04
5.09,2.32,27.88,1.07,52.71,81.81,156.6,2.42,Sandy,10.92
8.77,3.34,10.89,2.77,399.91,229.06,548.99,2.89,,7.55
4.24,52.43,40.54,5.94,318.67,199.58,142.9,2.41,Loamy,0.9
9.25,34.33,41.68,0.09,397.24,33.61,275.45,3.15,Sandy,7.74
8.9,6.79,17.86,1.56,454.88,249.98,207.13,2.71,Sandy,10.95
8.16,53.82,46.89,1.96,460.31,191.44,164.03,0.87,Clay,5.36
8.53,33.73,42.88,5.42,542.82,46.65,371.81,2.35,Sandy,1.2
8.71,44.25,23.94,4.4,211.32,106.6,416.68,2.74,Loamy,6.45
8.04,64.96,5.04,0.66,355.19,242.06,450.91,2.15,Sandy,10.93
5.24,66.62,24.73,4.1,83.44,207.86,561.26,0.25,Loamy,5.8
6.33,17.2,40.43,1.07,98.71,8.29,,0.41,Clay,5.39
8.81,49.51,13.34,0.22,75.55,128.87,,0.7,Loamy,0.32
7.28,48.8,6.86,4.48,317.27,23.79,682.59,1.53,Clay,1.12
5.74,2.02,,,,129.46,,0.42,Loamy,8.25
5.95,54.86,35.29,0.7,424.87,133.63,659.66,2.65,Loamy,11.26
6.53,25.43,14.08,1.04,,53.79,675.87,0.18,Loamy,0.57
5.43,57.15,8.9,0.49,577.32,165.24,126.44,1.93,Sandy,10.93
7.76,48.7,20.08,2.16,568.37,216.27,420.82,3.03,Clay,8.92
5.55,0.41,6.68,1.46,295.16,,427.46,1.13,Loamy,10.17
4.58,47.21,23.63,4.31,497.41,126.99,421.08,1.5,Clay,7.8
5.92,30.89,23.88,4.5,236.5,56.94,57.71,1.96,Sandy,6.2
5.19,49.9,30.88,0.42,189.04,69.37,145.07,0.2,Sandy,0.72
8.28,66.1,41.61,4.0,71.94,133.57,36.45,2.02,Loamy,10.31
9.33,2.61,5.22,1.97,73.97,227.58,586.28,2.45,Loamy,9.07
9.44,33.79,49.16,0.14,363.76,182.02,187.07,3.14,Sandy,1.47
4.36,43.41,15.0,1.13,,190.86,180.31,1.83,Loamy,10.71
8.82,28.57,34.8,5.47,274.43,19.04,,1.46,Sandy,3.7
7.33,45.96,29.69,1.85,95.04,216.63,307.19,2.96,Loamy,1.31
5.49,7.5,5.9,1.42,370.7,192.19,93.32,0.71,Clay,0.45
4.32,42.82,49.98,0.44,253.86,117.17,450.46,0.99,Clay,10.58
5.96,49.93,9.03,3.78,137.29,149.49,211.72,2.9,Clay,3.59
4.76,11.68,15.52,1.66,559.48,202.8,390.7,1.21,Loamy,9.49
8.66,13.14,20.8,2.23,405.08,86.87,219.18,3.18,Clay,1.12
8.38,22.15,44.18,2.53,370.51,,295.41,3.48,Clay,10.08
6.84,16.93,29.95,5.82,397.66,229.4,255.31,3.08,Clay,7.81
,60.32,41.29,2.76,308.24,44.36,399.08,2.02,Loamy,11.06
5.59,20.81,,0.12,172.97,232.37,61.63,2.14,Clay,4.7
6.62,13.58,8.45,3.07,263.91,208.03,472.99,2.31,,11.82
5.03,37.39,43.19,1.18,374.05,189.25,,2.89,Loamy,11.15
8.22,14.23,44.01,1.51,264.11,240.31,529.73,2.08,Loamy,8.24
8.5,17.08,20.01,4.84,238.17,189.33,72.65,2.72,Sandy,5.43
6.41,46.86,39.9,2.51,102.66,185.96,356.02,1.24,Sandy,7.77
5.88,27.87,11.26,5.94,,242.25,99.87,1.88,Loamy,8.3
9.31,10.19,40.41,3.04,361.1,53.01,117.95,0.09,Clay,9.51
6.6,5.05,32.32,2.48,13.69,214.85,401.49,0.43,Sandy,10.25
8.34,8.05,45.14,4.23,473.55,239.81,238.62,2.03,,2.89
7.7,30.07,25.3,,99.16,199.99,583.12,3.4,Loamy,4.33
6.47,57.99,5.2,1.53,488.11,,196.19,0.27,Sandy,8.56
7.35,42.27,38.19,3.08,570.88,115.15,230.17,1.3,Sandy,10.69
7.82,12.57,22.95,2.34,506.93,26.55,353.7,1.02,Clay,10.33
8.5,5.16,24.11,3.88,140.6,98.01,542.67,1.15,Sandy,5.98
4.72,23.3,21.92,4.53,411.95,50.46,686.32,2.68,Clay,8.49
8.46,68.73,48.93,4.15,34.57,71.42,108.12,1.37,Clay,0.86
4.94,16.88,44.04,4.92,579.89,215.57,,0.58,Loamy,7.4
8.26,59.73,,1.4,212.18,230.12,596.37,2.21,Loamy,0.49
7.9,1.57,49.21,1.89,13.1,30.27,154.14,0.67,Loamy,7.54
4.08,20.23,49.3,3.5,503.56,184.5,208.16,1.17,Loamy,6.73
9.17,2.65,9.79,2.85,170.01,64.64,336.73,1.78,Sandy,1.74
6.37,18.75,25.54,1.42,75.11,221.84,336.44,1.92,Clay,7.25
4.0,52.77,39.36,5.2,156.6,203.57,141.08,2.0,Loamy,6.14
6.38,48.73,6.93,5.15,437.85,89.68,620.33,1.83,Sandy,1.07
4.05,22.16,18.95,0.87,56.66,,560.06,1.79,Sandy,3.08
,31.87,,5.91,175.04,,142.29,3.0,Sandy,9.29
8.73,38.65,25.69,2.47,67.97,46.64,536.31,0.6,Sandy,11.44
6.88,41.32,,5.71,38.67,143.95,447.32,3.01,Clay,0.83
4.52,62.74,5.27,2.27,422.36,101.51,451.09,2.02,Clay,6.71
7.06,35.11,22.03,2.95,542.87,149.07,419.73,2.12,Clay,6.98
7.15,35.14,23.61,1.8,455.63,141.77,459.15,0.45,Sandy,5.22
8.51,5.21,49.01,3.6,,153.9,505.64,2.39,Sandy,10.31
5.4,46.42,9.0,1.69,358.93,35.73,123.47,0.36,Clay,6.89
8.38,69.18,20.18,5.69,37.93,72.25,186.52,1.96,Sandy,10.53
6.52,32.57,29.57,5.71,40.71,107.24,635.57,0.89,Loamy,2.11
5.36,11.97,5.12,0.92,116.67,188.65,171.58,0.14,Sandy,3.16
7.7,31.87,40.61,3.09,463.1,193.75,133.45,2.79,Loamy,0.49
7.34,21.76,25.07,4.86,401.21,42.45,224.07,0.47,,7.42
5.7,5.57,12.44,5.22,397.18,7.33,686.83,2.92,Sandy,5.01
7.05,31.1,23.05,5.92,14.66,15.04,373.88,0.4,Clay,2.73
6.82,25.1,47.55,0.34,417.62,242.04,487.74,1.7,Clay,3.01
9.07,34.21,49.07,4.35,228.68,198.64,554.61,1.47,,6.99
6.26,,40.81,2.7,303.21,246.86,559.2,2.77,Loamy,6.3
6.9,48.13,28.49,3.69,338.69,143.13,647.6,3.23,Loamy,6.75
7.2,1.77,,4.7,546.59,123.26,139.09,3.13,Clay,8.53
